"eng": {
    "it00_00_000": "Green Herb",
    "it00_00_100": "Mixed Herb (G+G)",
    "it00_00_200": "Mixed Herb (G+G+G)",
    "it00_01_000": "Med Injector",
    "it10_00_000": "Matilda IMP",
    "it10_00_001": "S&S M232",
    "it10_00_002": "Silencer 9",
    "it10_00_003": "B934",
    "it10_00_004": "Redemption",
    "it10_00_005": "Ghost Grudge",
    "it10_00_006": "Alligator Snapper",
    "it10_01_000": "MSBG 500",
    "it10_01_002": "W870 Police",
    "it10_01_003": "990-TAC",
    "it10_02_000": "Requiem",
    "it10_03_000": "Gal",
    "it10_03_001": "Stiri REVO3 A1",
    "it10_03_003": "Freya's Needle",
    "it10_04_000": "RPG-7",
    "it10_05_000": "Classic 70",
    "it10_05_001": "Marksman 1A",
    "it10_05_002": "Clatter Carbine",
    "it10_10_000": "Chainsaw",
    "it10_10_001": "Fire Poker",
    "it10_10_002": "Disposal Tank",
    "it10_20_001": "Hatchet",
    "it10_20_003": "Makeshift Knife",
    "it10_20_005": "Hunting Knife",
    "it10_20_006": "Mortal Edge",
    "it10_20_007": "R.I.P. Knife",
    "it10_20_008": "Kotetsu",
    "it10_30_000": "Body Armor Lv.I",
    "it10_30_001": "Body Armor Lv.II",
    "it10_30_002": "Body Armor Lv.III",
    "it20_00_000": "Hand Grenade",
    "it20_00_002": "Molotov Cocktail",
    "it20_00_003": "Empty Bottle",
    "it20_00_004": "Stacked Hand Grenade",
    "it20_00_005": "Bottle of Acid",
    "it30_00_100": "High-Capacity Mag.",
    "it30_00_100_01": "High-Capacity Mag. +",
    "it30_00_100_02": "High-Capacity Mag. <FONT 4>★</FONT>",
    "it30_00_101": "Silver Tube Extension",
    "it30_00_101_01": "Silver Tube Extension +",
    "it30_00_101_02": "Silver Tube Extension <FONT 4>★</FONT>",
    "it30_00_102": "High-Capacity Mag.",
    "it30_00_102_01": "High-Capacity Mag. +",
    "it30_00_102_02": "High-Capacity Mag. <FONT 4>★</FONT>",
    "it30_00_103": "High-Capacity Mag.",
    "it30_00_103_01": "High-Capacity Mag. +",
    "it30_00_103_02": "High-Capacity Mag. <FONT 4>★</FONT>",
    "it30_00_104": "Carbon Tube Extension",
    "it30_00_104_01": "Carbon Tube Extension +",
    "it30_00_104_02": "Carbon Tube Extension <FONT 4>★</FONT>",
    "it30_00_105": "High-Capacity Mag.",
    "it30_00_105_01": "High-Capacity Mag. +",
    "it30_00_105_02": "High-Capacity Mag. <FONT 4>★</FONT>",
    "it30_00_106": "High-Capacity Mag.",
    "it30_00_106_01": "High-Capacity Mag. +",
    "it30_00_106_02": "High-Capacity Mag. <FONT 4>★</FONT>",
    "it30_00_107": "Titanium Magazine Catch",
    "it30_00_107_01": "Titanium Magazine Catch +",
    "it30_00_107_02": "Titanium Magazine Catch <FONT 4>★</FONT>",
    "it30_00_108": "High-Capacity Mag.",
    "it30_00_108_01": "High-Capacity Mag. +",
    "it30_00_108_02": "High-Capacity Mag. <FONT 4>★</FONT>",
    "it30_00_109": "Slick Magazine Catch",
    "it30_00_109_01": "Slick Magazine Catch +",
    "it30_00_109_02": "Slick Magazine Catch <FONT 4>★</FONT>",
    "it30_00_200": "Burst Stock",
    "it30_00_200_01": "Burst Stock +",
    "it30_00_200_02": "Burst Stock <FONT 4>★</FONT>",
    "it30_00_201": "Chrome Stock",
